pref_name_for_society,glottocode,Value
Toradja,pamo1252,Only second cousins
Tanimbarese,sela1259,Cross-cousin
Ili-Mandiri,lama1277,Cross-cousin
Kei,keii1239,Matrilateral cross only
Sumbanese,kamb1299,Matrilateral cross only
Northern Aranda,east2379,Some second only
Walbiri,warl1254,No first/second cousins
Gidjingali,gunn1248,Some second only
Yir Yoront,jirj1239,Matrilateral cross only
Anindilyagwa,anin1240,Only second cousins
"Yolngu, Dhuwal",dhuw1249,Matrilateral cross only
Tiwi,tiwi1244,Only second cousins
Diyari,dier1241,Some second only
Kariyarra,kari1304,Cross-cousin
Wikmunkan,wikm1247,Matrilateral cross only
Murriny Patha,murr1258,Some second only
Tasmanians (northwestern),port1278,NA
Ngiyambaa,wang1291,Some second only
Mee,ekar1243,Only second cousins
Motu,motu1246,No first/second cousins
Kakoli,umbu1258,Some second only
Kwoma,kwom1262,Only second cousins
Kiwai,sout2949,Only second cousins
Miriam,meri1244,No first/second cousins
Abelam,ambu1247,No first cousins
Kutubu,foii1241,No first cousins
Siane,sian1257,No first cousins
Kimam,kima1246,No first/second cousins
Marind-Amin,nucl1622,No first cousins
Wantoat,want1252,Cross-cousin
Koita,koit1244,No first/second cousins
Mailu,mail1248,NA
Mekeo,meke1243,No first cousins
Muju,sout2940,No first cousins
Koiari,gras1249,No first cousins
Mafulu,fuyu1242,No first cousins
Ngarawapum,adze1240,Some second only
Banaro,bana1292,Cross-cousin
Busama,buga1250,No first cousins
Manam,mana1295,No first cousins
Arapesh,buki1249,No first cousins
Mimika,kamo1255,NA
Fore,fore1270,Cross-cousin
Sio,sioo1240,NA
Soromadja,nucl1595,Cross-cousin
Bgu,bong1287,No first/second cousins
Iatmul,iatm1242,Cross-cousin
Samarokena,sama1240,No first/second cousins
Star Mountain,ngal1298,No first cousins
Dani,midg1235,Cross-cousin
Elema,orok1267,No first cousins
Wogeo,woge1237,Only second cousins
Keraki,namb1293,No first cousins
Waropen,waro1242,Matrilateral cross only
