language,glottocode,family,prop,n_kintypes
Old High German (ca. 750-1050),oldh1241,Indo-European,0.6666666666666666,12
Slave,slav1253,NA,0.59375,32
Western Dani,west2594,Nuclear Trans New Guinea,0.6428571428571429,28
Archi,arch1244,Nakh-Daghestanian,0.3541666666666667,48
Sibe,sibe1248,South Bougainville,0.46875,32
Malecite,male1293,Algic,0.5625,32
Pipil,pipi1250,Uto-Aztecan,0.3333333333333333,6
Yanomám,yano1262,NA,0.5,18
Hehe,hehe1240,Atlantic-Congo,0.47619047619047616,42
Sinitic,sini1245,Sino-Tibetan,0.71875,32
Czech,czec1258,Indo-European,0.3333333333333333,48
Kukatja,kuka1246,Pama-Nyungan,0.425,40
Old Aramaic-Sam'alian,olda1245,Afro-Asiatic,0.3863636363636363,44
Edopi,edop1238,Lakes Plain,0.16666666666666666,48
Siwai,siwa1245,South Bougainville,0.5,32
Māngarongaro,penr1237,Austronesian,0.325,40
Batanga,bata1285,Atlantic-Congo,0.8541666666666666,48
Munggava,mung1271,Austronesian,0.35,40
Pacoh,paco1243,Austroasiatic,0.7142857142857143,14
Wawonii,wawo1239,Austronesian,0.20833333333333337,48
Wiyot,wiyo1248,Algic,0.3,40
Eastern Pahari,east1436,Indo-European,0.5714285714285714,28
Mortlockese,mort1237,Austronesian,0.29411764705882354,34
Balangao,bala1310,Austronesian,0.28125,32
Telefol,tele1256,Nuclear Trans New Guinea,0.4166666666666667,48
Gane,gane1237,Austronesian,0.43478260869565216,46
Kutenai,kute1249,NA,0.5454545454545454,22
Jurúna,juru1256,Tupian,0.380952380952381,42
Southern Paiute,sout2969,Uto-Aztecan,0.48,25
Hittite,hitt1242,Indo-European,0.40625,32
Vili,vili1238,Atlantic-Congo,0.4,5
Wuvulu-Aua,wuvu1239,Austronesian,0.18421052631578944,38
Yamdena,yamd1240,Austronesian,1,2
Sangtam Naga,sang1321,Sino-Tibetan,0.53125,32
Soga,soga1242,Atlantic-Congo,0.375,48
Laiwui,laiw1239,Austronesian,0.3333333333333333,24
Cocopa,coco1261,NA,0.6428571428571429,42
Yombe,yomb1244,Atlantic-Congo,0.3181818181818182,44
Muduapa,mudu1242,Austronesian,0.28125,32
Shoshoni,shos1248,Uto-Aztecan,0.8333333333333334,18
Yerukula,yeru1240,Dravidian,0.9444444444444444,18
Wang-The,wang1287,Sino-Tibetan,0.53125,32
Western Tawbuid,west2559,Austronesian,0.2708333333333333,48
Dadibi,dadi1250,Teberan,0.22916666666666663,48
Kalamang,kara1499,NA,0.4791666666666667,48
Kunzakh,kunz1243,Nakh-Daghestanian,0.375,48
Nehan,neha1247,Austronesian,0.25,40
Sinhala,sinh1246,Indo-European,0.575,40
Iban,iban1264,Austronesian,0.25,48
Tidore,tido1248,NA,0.53125,32
Warázu,paus1244,Tupian,0.3636363636363637,33
Kaonde,kaon1241,Atlantic-Congo,0.375,32
Cocama-Cocamilla,coca1259,Tupian,0.2708333333333333,48
Seri,seri1257,NA,0.3333333333333333,42
Old Russian,oldr1238,Indo-European,0.375,32
Movono,tang1347,Austronesian,1,8
Veps,veps1250,Uralic,0.8,10
East Ambae,east2443,Austronesian,0.375,24
Torete,tore1237,Austronesian,0.3333333333333333,24
Seki,seki1238,Atlantic-Congo,0.5,14
Ketengban,kete1254,Nuclear Trans New Guinea,0.35714285714285715,28
Cotabato Manobo,cota1241,Austronesian,0.25,32
Colloquial Malay,mala1479,Austronesian,0.22916666666666663,48
Birhor,birh1242,Austroasiatic,0.71875,32
Monumbo,nucl1458,Bogia,0.5625,32
Olal,olal1237,Austronesian,0.28125,32
Asu (Tanzania),asut1235,Atlantic-Congo,0.4583333333333333,48
Naasioi,naas1242,South Bougainville,0.4375,32
Momu-Fas,fass1245,Baibai-Fas,0.2708333333333333,48
Copper Inuit,copp1244,Eskimo-Aleut,0.40625,32
Landawe,land1259,Austronesian,0.3333333333333333,24
Portuguese,port1283,Indo-European,0.3181818181818182,44
Netsilik,nets1241,Eskimo-Aleut,0.3541666666666667,48
Sanskrit,sans1269,Indo-European,0.6458333333333334,48
Puelche,puel1244,NA,0.375,48
Lonwolwol,lonw1238,Austronesian,0.43333333333333335,30
Malgana,malg1242,Pama-Nyungan,0.5294117647058824,17
Huichol,huic1243,Uto-Aztecan,1,6
Palauan,pala1344,Austronesian,0.34375,32
Xibe,xibe1242,NA,0.5416666666666666,48
Middle English,midd1317,Indo-European,0.3888888888888889,36
Myene,myen1241,Atlantic-Congo,0.425531914893617,47
Manam,mana1295,Austronesian,0.2692307692307692,26
Tamambo,malo1243,Austronesian,0.5714285714285714,28
Gimi (Eastern Highlands),gimi1243,Nuclear Trans New Guinea,0.43333333333333335,30
Awiakay,awia1234,Arafundi,0.375,48
Mori Atas,mori1269,Austronesian,0.375,24
Aguaruna,agua1253,NA,0.3333333333333333,48
Eudeve,eude1234,Uto-Aztecan,1,9
Mangei,mang1407,Austronesian,0.40625,32
Masaaba,masa1299,Atlantic-Congo,0.4318181818181818,44
Uma Juman,umaj1240,Austronesian,0.2708333333333333,48
Nimboran,nucl1633,Nimboranic,0.2708333333333333,48
Dandami Maria,dand1238,Dravidian,0.625,40
Baruya,baru1267,Angan,0.375,32
Lipan Apache,lipa1241,NA,0.2916666666666667,48
Ossetic,osse1245,Indo-European,0.7142857142857143,7
Tuvalu,tuva1244,Austronesian,0.3333333333333333,48
Jamaican Creole English,jama1262,Indo-European,0.3958333333333333,48
Lelepa,lele1267,Austronesian,0.375,40
Letemboi-Repanbitip,lete1241,Austronesian,0.34375,32
Roviana,rovi1238,Austronesian,0.25,48
Suki,suki1245,NA,0.5,32
Chokwe,chok1245,Atlantic-Congo,0.30952380952380953,42
Latvian,latv1249,Indo-European,0.4583333333333333,48
Kala Lagaw Ya,kala1377,Pama-Nyungan,0.20833333333333337,48
Loniu,loni1238,Austronesian,0.34615384615384615,26
Pintupi-Luritja,pint1250,Pama-Nyungan,0.47368421052631576,38
Western Pantar,lamm1241,NA,0.4090909090909091,44
Brunei-Sabah Malay,saba1263,Austronesian,0.25,48
Mouk,mouk1240,Austronesian,0.3333333333333333,42
Herero,here1253,Atlantic-Congo,0.3720930232558139,43
Nengone,neng1238,Austronesian,0.3684210526315789,38
Inxokvari,inxo1238,Nakh-Daghestanian,0.3958333333333333,48
Fordata,ford1242,Austronesian,0.5,8
Panamint,pana1305,Uto-Aztecan,0.42105263157894735,38
Sawi,sawi1257,Nuclear Trans New Guinea,0.3125,32
Ottawa,otta1242,Algic,0.625,32
Yabem,yabe1254,Austronesian,0.375,48
Hausa,haus1257,Afro-Asiatic,0.3541666666666667,48
Ancient Greek,anci1242,Indo-European,0.375,48
Kwamera,kwam1252,Austronesian,0.2916666666666667,48
Luba-Lulua,luba1249,Atlantic-Congo,0.29545454545454547,44
Mala,mala1494,NA,0.5,32
Burmish,burm1266,Sino-Tibetan,0.65625,32
Nogai,noga1249,Turkic,0.3333333333333333,48
Yámana,yama1264,NA,0.3333333333333333,48
Ende (Papua New Guinea),ende1235,NA,0.3541666666666667,48
Kalkutung,kalk1246,Pama-Nyungan,0.3333333333333333,48
Waffa,waff1241,Nuclear Trans New Guinea,0.46875,32
Karenic,kare1337,Sino-Tibetan,0.5,32
Tikopia,tiko1237,Austronesian,0.22916666666666663,48
Saaroa,saar1237,Austronesian,0.375,40
Italian,ital1282,Indo-European,0.2708333333333333,48
Eastern Mari,east2328,Uralic,0.5161290322580645,31
Itbayat,ivat1242,Austronesian,0.22916666666666663,48
Old Rapa,rapa1245,Austronesian,0.3125,32
South Saami,sout2674,Uralic,0.8888888888888888,18
Araweté,araw1273,Tupian,0.40425531914893614,47
Classical Nahuatl,clas1250,Uto-Aztecan,0.5,24
Karadjeri,kara1476,Pama-Nyungan,0.3333333333333333,42
Jicarilla Apache,jica1244,NA,0.3333333333333333,48
Kélé,kele1257,Atlantic-Congo,0.4,10
Yansi,yans1239,Atlantic-Congo,0.34615384615384615,26
Kwere,kwer1261,Atlantic-Congo,0.4615384615384616,39
