language,glottocode,family,correlation
Yadhaykenu,yadh1237,Pama-Nyungan,0.22417191896479374
Catalan,stan1289,Indo-European,0.4476596474183565
Yucatec Maya,yuca1254,,0.30230937851114326
Dyirbal,dyir1250,Pama-Nyungan,0.3023814142261037
Mala,mala1494,,0.1802923209752948
Alangan,alan1249,Austronesian,0.3454967537444559
Atsugewi,atsu1245,,0.46275139272125954
Araki,arak1252,Austronesian,0.19786259556405056
Lau,lauu1247,Austronesian,0.2089526367681221
Adang,adan1251,,0.23288581939314607
Cocama-Cocamilla,coca1259,Tupian,0.32572848921973974
Bwaidoga,bwai1243,Austronesian,0.6259898282378901
Umbu-Ungu,umbu1258,Nuclear Trans New Guinea,0.19801861212771543
Lake Miwok,lake1258,,0.4989102783994313
Sanapaná,sana1298,,0.3335016380506209
Tucano,tuca1252,,0.15088262564839855
Tajio,taji1246,Austronesian,0.4174521396821774
Yanomám,yano1262,,0.43363874242661743
Paliyan,pali1274,Dravidian,0.32518531790812877
Kwaio,kwai1243,Austronesian,0.20361570561561965
Naman,litz1237,Austronesian,0.17847360767277115
Selkup,selk1253,Uralic,0.25123073160594755
Anambé,anam1249,Tupian,0.2787836782209312
Kanum,kanu1280,,0.8660254037844386
Kagulu,kagu1239,Atlantic-Congo,0.3398785502093586
Karok,karo1304,,0.2880512525874026
Assiniboine,assi1247,,0.19825756718002957
Gupapuyngu,gupa1247,Pama-Nyungan,0.23515367274458168
Neme,neme1244,,0.2094959877869677
Chokwe,chok1245,Atlantic-Congo,0.2365026289964764
Karenic,kare1337,Sino-Tibetan,0.4159707647131001
Karitiâna,kari1311,Tupian,0.32979038069921784
Peoria,peor1238,Algic,0.18296900547389539
Yalarnnga,yala1262,Pama-Nyungan,0.3239714754436285
Bungku,bung1269,Austronesian,0.36708617605228655
Wathawurrung,wath1238,Pama-Nyungan,0.4007795510871557
Dandami Maria,dand1238,Dravidian,0.30739741508647384
Kunimaipa,kuni1267,Goilalan,0.15966134259074552
Hoti,yuwa1244,,0.2943911786464641
Martu Wangka,mart1256,Pama-Nyungan,0.2853263999676383
