Name,Glottocode,Value,settlement_type,Settlement_Type
Madi,madi1260,Dispersed homesteads,Small settlements,Small settlements
Moru,moru1253,Dispersed homesteads,Small settlements,Small settlements
Bongo,bong1285,Dispersed homesteads,Small settlements,Small settlements
Jur,luwo1239,Dispersed homesteads,Small settlements,Small settlements
Koalib,koal1240,Hamlets,Small settlements,Small settlements
Korongo,kron1241,Hamlets,Small settlements,Small settlements
Mesakin,ngil1242,Hamlets,Small settlements,Small settlements
Ingassana,gaam1241,Dispersed homesteads,Small settlements,Small settlements
Moro,moro1285,Hamlets,Small settlements,Small settlements
Tira,tira1254,Hamlets,Small settlements,Small settlements
Tullishi,tuli1249,Hamlets,Small settlements,Small settlements
Nyimang,amas1236,Hamlets,Small settlements,Small settlements
Anuak,anua1242,Villages/towns,Large settlements,Large settlements
Meban,maba1273,Hamlets,Small settlements,Small settlements
Koma,komo1258,Villages/towns,Large settlements,Large settlements
Mao,hozo1236,Villages/towns,Large settlements,Large settlements
Mamvu,mamv1243,Villages/towns,Large settlements,Large settlements
Shilluk,shil1265,Hamlets,Small settlements,Small settlements
Gbaya,nort2775,Villages/towns,Large settlements,Large settlements
Dilling,dill1242,Hamlets,Small settlements,Small settlements
Masa,masa1322,Dispersed homesteads,Small settlements,Small settlements
Teso,teso1249,Dispersed homesteads,Small settlements,Small settlements
Acholi,dhop1238,Hamlets,Small settlements,Small settlements
Dinka,sout2832,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Lotuko,otuh1238,Villages/towns,Large settlements,Large settlements
Pojulu,poju1239,Villages/towns,Large settlements,Large settlements
Kakwa,kakw1240,Villages/towns,Large settlements,Large settlements
Kuku,kuku1285,Dispersed homesteads,Small settlements,Small settlements
Mondari,mand1425,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Alur,alur1250,Hamlets,Small settlements,Small settlements
Bodi,meen1242,Hamlets,Small settlements,Small settlements
Didinga,didi1258,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Maasi,masa1300,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Suri,suri1267,Villages/towns,Large settlements,Large settlements
Jie,jiee1239,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Labwor,labw1238,Villages/towns,Large settlements,Large settlements
Plains Suk,east2420,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Toposa,topo1242,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Keyu,keiy1238,Hamlets,Small settlements,Small settlements
Hill Suk,west2492,Dispersed homesteads,Small settlements,Small settlements
Sapei,kups1238,Hamlets,Small settlements,Small settlements
Tatoga,dato1239,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Samburu,samb1315,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Nuer,nuer1246,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Karamojong,nucl1430,NA,NA,NA
Pari,pari1256,NA,NA,NA
Lango,lang1324,Villages/towns,Large settlements,Large settlements
Turkana,turk1308,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Luo,luok1236,Dispersed homesteads,Small settlements,Small settlements
Nandi,nand1266,Dispersed homesteads,Small settlements,Small settlements
Bari,ligo1238,Dispersed homesteads,Small settlements,Small settlements
Kipsigis,kips1239,Dispersed homesteads,Small settlements,Small settlements
Konso,kons1243,Villages/towns,Large settlements,Large settlements
Somali (Esa),nort3051,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Arusi,bora1271,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Gibe,west2721,Dispersed homesteads,Small settlements,Small settlements
Macha,west2721,Dispersed homesteads,Small settlements,Small settlements
Burji,burj1242,Dispersed homesteads,Small settlements,Small settlements
Darasa,gede1246,Dispersed homesteads,Small settlements,Small settlements
Sidama,sida1246,Dispersed homesteads,Small settlements,Small settlements
Tsamai,tsam1247,Dispersed homesteads,Small settlements,Small settlements
Arbore,arbo1245,Villages/towns,Large settlements,Large settlements
Banna,hame1242,Hamlets,Small settlements,Small settlements
Somali (Dolbahanta),nort3051,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Galab,daas1238,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Hamar,hame1242,Hamlets,Small settlements,Small settlements
Male,male1284,Dispersed homesteads,Small settlements,Small settlements
Bako,aari1239,Dispersed homesteads,Small settlements,Small settlements
Dime,dime1235,Dispersed homesteads,Small settlements,Small settlements
Shangama,aari1239,Dispersed homesteads,Small settlements,Small settlements
Ubamer,aari1239,Dispersed homesteads,Small settlements,Small settlements
Anfillo,anfi1235,Dispersed homesteads,Small settlements,Small settlements
Basketo,bask1236,Dispersed homesteads,Small settlements,Small settlements
Yem,toba1264,Dispersed homesteads,Small settlements,Small settlements
Tigrinya,tigr1271,Villages/towns,Large settlements,Large settlements
Kafa,kafa1242,Dispersed homesteads,Small settlements,Small settlements
Beta Israel,qima1242,Villages/towns,Large settlements,Large settlements
Nara,nara1262,Villages/towns,Large settlements,Large settlements
Kunama,kuna1268,Villages/towns,Large settlements,Large settlements
Ababda,abab1239,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Amarar,amar1281,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Beni-Amer,mans1267,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Blin,bili1260,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tigre,mans1267,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Jimma,west2721,Dispersed homesteads,Small settlements,Small settlements
Iraqw,iraq1241,Dispersed homesteads,Small settlements,Small settlements
Baditu,koor1239,Dispersed homesteads,Small settlements,Small settlements
Dorse,dorz1235,Dispersed homesteads,Small settlements,Small settlements
Shako,shek1245,Hamlets,Small settlements,Small settlements
Hadendowa,hade1248,NA,NA,NA
Bisharin,bish1251,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Afar,afar1241,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Amhara,amha1245,Hamlets,Small settlements,Small settlements
Gurage,seba1251,Villages/towns,Large settlements,Large settlements
Goroa,goro1270,Dispersed homesteads,Small settlements,Small settlements
Maguzawa,kano1249,NA,NA,NA
Karekare,kare1348,Hamlets,Small settlements,Small settlements
