Name,Glottocode,Value,Subsistence_Type
Kissi,nort2765,Extensive agriculture,Agriculture
Ibibio,ibib1240,Extensive agriculture,Agriculture
Ijaw,kala1381,Extensive agriculture,Agriculture
Itsekiri,isek1239,Fishing,Hunting and gathering
Afikpo,afik1238,Intensive agriculture,Agriculture
Edo,bini1246,Extensive agriculture,Agriculture
Isoko,isok1239,Extensive agriculture,Agriculture
Kukuruku,yekh1238,Extensive agriculture,Agriculture
Eloyi,eloy1241,Extensive agriculture,Agriculture
Gbagyi,gbar1246,Intensive agriculture,Agriculture
Idoma,idom1241,Extensive agriculture,Agriculture
Ashanti,asan1239,Extensive agriculture,Agriculture
Igala,igal1242,Extensive agriculture,Agriculture
Koro,ashe1269,"Agriculture, type unknown",Agriculture
Egba,egba1238,Extensive agriculture,Agriculture
Ekiti,ekit1244,Extensive agriculture,Agriculture
Ife,ijes1238,Extensive agriculture,Agriculture
Adangme,adan1247,Extensive agriculture,Agriculture
Ewe,aguu1242,Extensive agriculture,Agriculture
Buem,siwu1238,Extensive agriculture,Agriculture
Abron,abro1238,Extensive agriculture,Agriculture
Anyi,anyi1245,Extensive agriculture,Agriculture
Yako,loka1252,Extensive agriculture,Agriculture
Assini,abur1243,Extensive agriculture,Agriculture
Attie,atti1239,Extensive agriculture,Agriculture
Fante,fant1241,Extensive agriculture,Agriculture
Ga,gaaa1244,Two or more sources,NA
Alagya,alla1248,Fishing,Hunting and gathering
Avikam,avik1243,Two or more sources,NA
Bakwe,bakw1243,Extensive agriculture,Agriculture
Krahn,west2488,Extensive agriculture,Agriculture
Kru,klao1243,Extensive agriculture,Agriculture
Sapo,sapo1251,Extensive agriculture,Agriculture
Mende,mend1266,Extensive agriculture,Agriculture
Dan,dann1241,Extensive agriculture,Agriculture
Gagu,gagu1242,Extensive agriculture,Agriculture
Guro,guro1248,Extensive agriculture,Agriculture
Tura,tour1242,Extensive agriculture,Agriculture
Gbande,band1352,Extensive agriculture,Agriculture
Gola,gola1255,Extensive agriculture,Agriculture
Ngere,dann1241,Extensive agriculture,Agriculture
Temne,timn1235,Extensive agriculture,Agriculture
Vai,vaii1241,Extensive agriculture,Agriculture
Oyo Yoruba,oyoo1238,Extensive agriculture,Agriculture
Bete,dalo1238,Extensive agriculture,Agriculture
Nupe,nupe1254,Extensive agriculture,Agriculture
Baule,baou1238,Extensive agriculture,Agriculture
Bambara,bamb1269,Intensive agriculture,Agriculture
Konkomba,konk1269,Extensive agriculture,Agriculture
Lobi,lobi1245,Extensive agriculture,Agriculture
Nankanse,nank1249,Extensive agriculture,Agriculture
Kasena,kase1253,Extensive agriculture,Agriculture
Baga,mbul1258,Extensive agriculture,Agriculture
Balanta,bala1301,Extensive agriculture,Agriculture
Banyun,bain1259,Extensive agriculture,Agriculture
Biafada,biaf1240,Extensive agriculture,Agriculture
Bijogo,bidy1244,Extensive agriculture,Agriculture
