Name,Glottocode,Family_Size
/'Auni-Khomani,nuuu1241,NA
//Xegwi,xegw1238,NA
/Xam,xamm1241,NA
Andamanese,akab1249,2.92
Kaurareg,kala1377,NA
Larikia,lara1258,NA
Gunwinygu,gunw1252,2.88
Mirrngadja,djin1252,2.62
Burarra,gunn1247,NA
Gidjingali,gunn1248,2.32
"Yolngu, Dhuwal",dhuw1249,NA
Yiiji,wuna1249,NA
Semang,kens1248,5.21
Wikmunkan,wikm1247,NA
Kaakutju,gaga1251,NA
Nunggubuyu,nung1290,NA
Yintjingga,ayab1239,NA
Yir Yoront,jirj1239,3.4
Tiwi,tiwi1244,2.43
Kuku (Yalanji),kuku1273,2.04
Anindilyagwa,anin1240,1.67
Walmbaria,flin1247,NA
Mulluk,mull1237,NA
