language,glottocode,family,prop,n_kintypes,data_type
Old English (ca. 450-1100),olde1238,Indo-European,0.4047619047619048,42,veridical
Andalal-Gxdatl,anda1281,Nakh-Daghestanian,0.3958333333333333,48,veridical
Shasta,shas1239,NA,0.35714285714285715,42,veridical
Tok Pisin,tokp1240,Indo-European,0.17391304347826086,46,veridical
Eel River Athabaskan,wail1244,NA,0.43478260869565216,46,veridical
Tasiko,tasi1237,Austronesian,0.18181818181818185,44,veridical
Chirag,chir1284,Nakh-Daghestanian,0.3333333333333333,48,veridical
Nakanai,naka1262,Austronesian,0.2708333333333333,48,veridical
Dakaka,daka1243,Austronesian,0.2727272727272727,44,veridical
Northwest Maidu,nort2951,NA,0.4390243902439024,41,veridical
Talise,tali1259,Austronesian,0.16666666666666666,48,veridical
Bengali,beng1280,Indo-European,0.6875,48,veridical
Afrikaans,afri1274,Indo-European,0.2916666666666667,48,veridical
Nalik,nali1244,Austronesian,0.34146341463414637,41,veridical
Boano (Sulawesi),boan1243,Austronesian,0.25,44,veridical
Moselle Franconian,luxe1241,Indo-European,0.3125,48,veridical
Bilibil,bilb1241,Austronesian,0.20833333333333337,48,veridical
Komo (Democratic Republic of Congo),komo1260,Atlantic-Congo,0.3541666666666667,48,veridical
Awetí,awet1244,Tupian,0.2916666666666667,48,veridical
Barí,bari1297,NA,0.3541666666666667,48,veridical
Shipibo-Conibo,ship1254,Pano-Tacanan,0.3958333333333333,48,veridical
Kamayurá,kama1373,Tupian,0.3541666666666667,48,veridical
Modern Greek,mode1248,Indo-European,0.3333333333333333,48,veridical
Standard Lebanese Arabic,stan1323,Afro-Asiatic,0.4375,48,veridical
Mongo,mong1338,Atlantic-Congo,0.3333333333333333,48,veridical
Dhuwal,dhuw1249,Pama-Nyungan,0.4166666666666667,48,veridical
Batlux,batl1238,Nakh-Daghestanian,0.3541666666666667,48,veridical
Langi,lang1320,Atlantic-Congo,0.34782608695652173,46,veridical
Modern Ossetic,osse1243,Indo-European,0.5,48,veridical
Chamorro,cham1312,Austronesian,0.3333333333333333,48,veridical
Giryama,giry1241,Atlantic-Congo,0.4565217391304347,46,veridical
Biri,biri1256,Pama-Nyungan,0.3863636363636363,44,veridical
Slovak,slov1269,Indo-European,0.3541666666666667,48,veridical
Tuyuca,tuyu1244,NA,0.3695652173913043,46,veridical
Lunda,lund1266,Atlantic-Congo,0.3636363636363637,44,veridical
Ukrainian,ukra1253,Indo-European,0.4772727272727273,44,veridical
Hewa,hewa1241,Sepik,0.2916666666666667,48,veridical
Ibaloi,ibal1244,Austronesian,0.1875,48,veridical
Northeast Maidu,nort2952,NA,0.3958333333333333,48,veridical
Indonesian,indo1316,Austronesian,0.25,48,veridical
East Futuna,east2447,Austronesian,0.22916666666666663,48,veridical
Godoberi,ghod1238,Nakh-Daghestanian,0.375,48,veridical
Nunamiut,nort2944,Eskimo-Aleut,0.3125,48,veridical
Malacca-Batavia Portuguese Creole,mala1533,Indo-European,0.3333333333333333,48,veridical
Adang,adan1251,NA,0.20833333333333337,48,veridical
Kuanua,kuan1248,Austronesian,0.22916666666666663,48,veridical
Tonga (Tonga Islands),tong1325,Austronesian,0.3125,48,veridical
Ratagnon,rata1245,Austronesian,0.25,48,veridical
Western Farsi,west2369,Indo-European,0.625,48,veridical
Touo,touo1238,Touo,0.3125,48,veridical
Wapishana,wapi1253,Arawakan,0.3541666666666667,48,veridical
Kemtuik,kemt1242,Nimboranic,0.3958333333333333,48,veridical
Pendau,pend1242,Austronesian,0.25,48,veridical
Kiput,kipu1237,Austronesian,0.2727272727272727,44,veridical
Mafea,mafe1237,Austronesian,0.25,44,veridical
Watut,watu1246,Austronesian,0.25,48,veridical
Martu Wangka,mart1256,Pama-Nyungan,0.2916666666666667,48,veridical
Bunganditj,bung1264,Pama-Nyungan,0.391304347826087,46,veridical
Ngulu,ngul1246,Atlantic-Congo,0.3111111111111111,45,veridical
Haya,haya1250,Atlantic-Congo,0.3333333333333333,48,veridical
Kartujarra,kart1247,Pama-Nyungan,0.3409090909090909,44,veridical
Torres Strait Creole,torr1261,Indo-European,0.25,48,veridical
Tabla,tabl1243,Sentanic,0.2708333333333333,48,veridical
Sundanese,sund1252,Austronesian,0.3541666666666667,48,veridical
Dutch,dutc1256,Indo-European,0.2916666666666667,48,veridical
Mbala,mbal1257,Atlantic-Congo,0.2765957446808511,47,veridical
Chamalal,cham1309,Nakh-Daghestanian,0.3958333333333333,48,veridical
Luiseno-Juaneño,luis1253,Uto-Aztecan,0.5952380952380952,42,veridical
Bezhta,bezh1248,Nakh-Daghestanian,0.4166666666666667,48,veridical
Basque,basq1248,NA,0.3333333333333333,48,veridical
Numbami,numb1247,Austronesian,0.3541666666666667,48,veridical
Lithuanian,lith1251,Indo-European,0.3958333333333333,48,veridical
Aché,ache1246,Tupian,0.2916666666666667,48,veridical
Rotuman,rotu1241,Austronesian,0.3333333333333333,48,veridical
Wayuu,wayu1243,Arawakan,0.22916666666666663,48,veridical
Nyulnyul,nyul1247,NA,0.34782608695652173,46,veridical
Mundurukú,mund1330,Tupian,0.4130434782608696,46,veridical
Isnag,isna1241,Austronesian,0.22916666666666663,48,veridical
French,stan1290,Indo-European,0.375,48,veridical
Maithili,mait1250,Indo-European,0.6666666666666666,48,veridical
Tswana,tswa1253,Atlantic-Congo,0.5,42,veridical
Maba (Indonesia),maba1278,Austronesian,0.2916666666666667,48,veridical
Cupeño,cupe1243,Uto-Aztecan,0.5,48,veridical
Catalan,stan1289,Indo-European,0.3333333333333333,48,veridical
Toda,toda1252,Dravidian,0.5238095238095238,42,veridical
Kashaya,kash1280,NA,0.4375,48,veridical
Tagalog,taga1270,Austronesian,0.23404255319148937,47,veridical
Komi-Zyrian,komi1268,Uralic,0.375,48,veridical
Icelandic,icel1247,Indo-European,0.4583333333333333,48,veridical
Pitta Pitta,pitt1247,Pama-Nyungan,0.3958333333333333,48,veridical
Lardil,lard1243,NA,0.1875,48,veridical
Ancux,ancu1238,Nakh-Daghestanian,0.375,48,veridical
Äiwoo,ayiw1239,Austronesian,0.3125,48,veridical
Eastern Bolivian Guaraní,east2555,Tupian,0.3636363636363637,44,veridical
Latin,lati1261,Indo-European,0.4583333333333333,48,veridical
Suruí,suru1262,Tupian,0.29545454545454547,44,veridical
Wangkajunga,wang1288,Pama-Nyungan,0.29545454545454547,44,veridical
Tocantins Asurini,toca1235,Tupian,0.4130434782608696,46,veridical
Tucano,tuca1252,NA,0.6744186046511628,43,veridical
Hano,hano1246,Austronesian,0.25,48,veridical
Cimbala-Cizali,sans1272,Atlantic-Congo,0.2826086956521739,46,veridical
Banjar,banj1239,Austronesian,0.25,48,veridical
Southeastern Tepehuan,sout2976,Uto-Aztecan,0.30434782608695654,46,veridical
