random_id,condition,block,system,relative1,relative2,relative1_term,relative2_term,distinction
srcyko4mfl,fmbg,8,4,mbs,mbd,idanuluf,idanuluf,0
srcyko4mfl,fmbg,8,4,mzs,mzd,idanuluf,idanuluf,0
srcyko4mfl,fmbg,8,4,fbs,fbd,ulywaf,ulywaf,0
srcyko4mfl,fmbg,8,4,fzs,fzd,idanuluf,idanuluf,0
srcyko4mfl,fmbg,3,5,mbs,mbd,goviku,goviku,0
srcyko4mfl,fmbg,3,5,mzs,mzd,goviku,goviku,0
srcyko4mfl,fmbg,3,5,fbs,fbd,goviku,goviku,0
srcyko4mfl,fmbg,3,5,fzs,fzd,ngapapu,ngapapu,0
srcyko4mfl,fmbg,4,6,mbs,mbd,yaöpe,yaöpe,0
srcyko4mfl,fmbg,4,6,mzs,mzd,šïïnö,šïïnö,0
srcyko4mfl,fmbg,4,6,fbs,fbd,šïïnö,šïïnö,0
srcyko4mfl,fmbg,4,6,fzs,fzd,šïïnö,šïïnö,0
srcyko4mfl,fmbg,1,7,mbs,mbd,kvurddåh,rhymsvåd,1
srcyko4mfl,fmbg,1,7,mzs,mzd,kvurddåh,rhymsvåd,1
srcyko4mfl,fmbg,1,7,fbs,fbd,kvurddåh,rhymsvåd,1
srcyko4mfl,fmbg,1,7,fzs,fzd,kvurddåh,rhymsvåd,1
uf9y22kc7h,fmbg,2,0,mbs,mbd,ryvïri,męwaqïfe,1
uf9y22kc7h,fmbg,2,0,mzs,mzd,ryvïri,męwaqïfe,1
uf9y22kc7h,fmbg,2,0,fbs,fbd,kïmy,ryvïri,1
uf9y22kc7h,fmbg,2,0,fzs,fzd,lobowaby,kïmy,1
uf9y22kc7h,fmbg,2,0,b,z,męwaqïfe,męwaqïfe,0
uf9y22kc7h,fmbg,8,1,mbs,mbd,azuf,ilug,1
uf9y22kc7h,fmbg,8,1,mzs,mzd,azuf,awupav,1
uf9y22kc7h,fmbg,8,1,fbs,fbd,azuf,ilug,1
uf9y22kc7h,fmbg,8,1,fzs,fzd,agivud,awupav,1
uf9y22kc7h,fmbg,6,2,mbs,mbd,luge,lepego,1
uf9y22kc7h,fmbg,6,2,mzs,mzd,lepego,kawuka,1
uf9y22kc7h,fmbg,6,2,fbs,fbd,lepego,lepego,0
uf9y22kc7h,fmbg,6,2,fzs,fzd,luge,wupu,1
uf9y22kc7h,fmbg,3,3,mbs,mbd,niuhiê,qăo,1
uf9y22kc7h,fmbg,3,3,mzs,mzd,baumiă,niuhiê,1
uf9y22kc7h,fmbg,3,3,fbs,fbd,baumiă,qăo,1
uf9y22kc7h,fmbg,3,3,fzs,fzd,baumiă,huanăa,1
uf9y22kc7h,fmbg,7,4,mbs,mbd,kvurddåh,ktåvrhus,1
uf9y22kc7h,fmbg,7,4,mzs,mzd,rhymsvåd,smêvskêv,1
uf9y22kc7h,fmbg,7,4,fbs,fbd,kvurddåh,rhymsvåd,1
uf9y22kc7h,fmbg,7,4,fzs,fzd,kvurddåh,smêvskêv,1
uf9y22kc7h,fmbg,1,5,mbs,mbd,byure,žbodu,1
uf9y22kc7h,fmbg,1,5,mzs,mzd,žbodu,žbodu,0
uf9y22kc7h,fmbg,1,5,fbs,fbd,rbāranžā,žbodu,1
uf9y22kc7h,fmbg,1,5,fzs,fzd,rbāranžā,rbāranžā,0
uf9y22kc7h,fmbg,5,6,mbs,mbd,šïïnö,šïïnö,0
uf9y22kc7h,fmbg,5,6,mzs,mzd,šaaqaude,tuumïhu,1
uf9y22kc7h,fmbg,5,6,fbs,fbd,töeqo,šïïnö,1
uf9y22kc7h,fmbg,5,6,fzs,fzd,šaaqaude,tuumïhu,1
uf9y22kc7h,fmbg,4,7,mbs,mbd,emøyeç,aweh,1
uf9y22kc7h,fmbg,4,7,mzs,mzd,emøyeç,aweh,1
uf9y22kc7h,fmbg,4,7,fbs,fbd,aweh,aweh,0
uf9y22kc7h,fmbg,4,7,fzs,fzd,aqinudød,aweh,1
96dcxvnjng,mfgb,1,0,mbs,mbd,tuumïhu,tuumïhu,0
96dcxvnjng,mfgb,1,0,mzs,mzd,tuumïhu,tuumïhu,0
