x,y,z,system,system_type,system_group,data_type
fbd,mbd,1,11,2x2 gen,2x2,perfect
fbd,mbs,1,11,2x2 gen,2x2,perfect
fbd,z,0,11,2x2 gen,2x2,perfect
fbd,b,0,11,2x2 gen,2x2,perfect
fbd,fzd,0,11,2x2 gen,2x2,perfect
fbd,fzs,0,11,2x2 gen,2x2,perfect
fbd,fbd,1,11,2x2 gen,2x2,perfect
fbd,fbs,1,11,2x2 gen,2x2,perfect
fbs,mzd,0,11,2x2 gen,2x2,perfect
fbs,mzs,0,11,2x2 gen,2x2,perfect
fbs,mbd,1,11,2x2 gen,2x2,perfect
fbs,mbs,1,11,2x2 gen,2x2,perfect
fbs,z,0,11,2x2 gen,2x2,perfect
fbs,b,0,11,2x2 gen,2x2,perfect
fbs,fzd,0,11,2x2 gen,2x2,perfect
fbs,fzs,0,11,2x2 gen,2x2,perfect
fbs,fbd,1,11,2x2 gen,2x2,perfect
fbs,fbs,1,11,2x2 gen,2x2,perfect
mzd,mzd,1,12,2x2 opp,2x2,perfect
mzd,mzs,1,12,2x2 opp,2x2,perfect
mzd,mbd,0,12,2x2 opp,2x2,perfect
mzd,mbs,0,12,2x2 opp,2x2,perfect
mzd,z,0,12,2x2 opp,2x2,perfect
mzd,b,0,12,2x2 opp,2x2,perfect
mzd,fzd,0,12,2x2 opp,2x2,perfect
mzd,fzs,0,12,2x2 opp,2x2,perfect
mzd,fbd,1,12,2x2 opp,2x2,perfect
mzd,fbs,1,12,2x2 opp,2x2,perfect
mzs,mzd,1,12,2x2 opp,2x2,perfect
mzs,mzs,1,12,2x2 opp,2x2,perfect
mzs,mbd,0,12,2x2 opp,2x2,perfect
mzs,mbs,0,12,2x2 opp,2x2,perfect
mzs,z,0,12,2x2 opp,2x2,perfect
mzs,b,0,12,2x2 opp,2x2,perfect
mzs,fzd,0,12,2x2 opp,2x2,perfect
mzs,fzs,0,12,2x2 opp,2x2,perfect
mzs,fbd,1,12,2x2 opp,2x2,perfect
mzs,fbs,1,12,2x2 opp,2x2,perfect
mbd,mzd,0,12,2x2 opp,2x2,perfect
mbd,mzs,0,12,2x2 opp,2x2,perfect
mbd,mbd,1,12,2x2 opp,2x2,perfect
mbd,mbs,1,12,2x2 opp,2x2,perfect
mbd,z,0,12,2x2 opp,2x2,perfect
mbd,b,0,12,2x2 opp,2x2,perfect
mbd,fzd,1,12,2x2 opp,2x2,perfect
mbd,fzs,1,12,2x2 opp,2x2,perfect
mbd,fbd,0,12,2x2 opp,2x2,perfect
mbd,fbs,0,12,2x2 opp,2x2,perfect
mbs,mzd,0,12,2x2 opp,2x2,perfect
mbs,mzs,0,12,2x2 opp,2x2,perfect
