language,family,code,true_value,simulated_mean,sd,z
Teguima,Uto-Aztecan,opat1246,0.8189153439153438,0.7407378720238094,0.01607458904816932,4.863419628163858
Lipan Apache,,lipa1241,0.6780753968253969,0.6803553240740742,0.015432731518801387,-0.14773322829466232
Batlux,Nakh-Daghestanian,batl1238,0.8257575757575758,0.8174292929292929,0.008288065178965133,1.0048524774418817
Nsong,Atlantic-Congo,song1299,0.9570707070707072,0.9113666351010101,0.00989949447236051,4.616808676170616
Southeast Ambrym,Austronesian,sout2859,0.8145833333333332,0.7956890625,0.02318080653030432,0.8150825472199447
Yanomám,,yano1262,0.5714285714285714,0.5714285714285712,2.220446049250313e-16,1.0
Upper Michigan-Wisconsin Chippewa,Algic,uppe1274,0.6277777777777778,0.627777777777778,2.220446049250313e-16,-1.0
Chipaya,,chip1262,0.8080357142857143,0.808035714285714,3.3306690738754696e-16,1.0
Ingush,Nakh-Daghestanian,ingu1240,0.775,0.8209073743386244,0.010450602364195502,-4.392796964116274
Kwasio,Atlantic-Congo,kwas1243,0.7984848484848485,0.7609763257575758,0.007563095419627403,4.959414187732215
Chamorro,Austronesian,cham1312,0.8527777777777777,0.8659090277777778,0.013832223275826443,-0.9493231665041553
Hinuq,Nakh-Daghestanian,hinu1240,0.9047283734783734,0.8778316164448977,0.006198884310728389,4.338967414979109
Farafi,Austronesian,butm1237,0.8416666666666666,0.8728145833333333,0.011633248082006156,-2.6774909678789602
Mekeo,Austronesian,meke1243,0.5,0.5,0.0,
Bau-Jagoi Bidayuh,Austronesian,baub1235,,,,
Suki,,suki1245,0.721875,0.7218750000000002,1.1102230246251565e-16,-1.0
Kalkutung,Pama-Nyungan,kalk1246,0.813128306878307,0.8117101190476189,0.015269152949013548,0.09287927335744282
Sukuma,Atlantic-Congo,suku1261,0.9,0.9000000000000002,2.220446049250313e-16,-1.0
Hausa,Afro-Asiatic,haus1257,0.822564935064935,0.8155648553992305,0.007597490949559476,0.9213672924625685
Mattole-Bear River,,matt1238,0.9166666666666667,0.8384027777777777,0.04626433503237301,1.691667865411329
Western Keres,,west2632,0.7950553327391563,0.7950553327391565,2.220446049250313e-16,-1.0
Kaiwá,Tupian,kaiw1246,0.5129261363636364,0.5129261363636363,1.1102230246251565e-16,1.0
Buru (Indonesia),Austronesian,buru1303,0.75,0.75,0.0,
Iban,Austronesian,iban1264,0.8439153439153438,0.8831626984126985,0.007652548999309773,-5.1286642530344535
