language,language_family,code,true_value,simulated_mean,simulated_sd,z
Suzhou,Sino-Tibetan,suzh1234,3.0,3.0,0.0,
S'gaw Karen,Sino-Tibetan,sgaw1245,3.0,3.0,0.0,
Kosarek Yale,Nuclear Trans New Guinea,kosa1249,2.5,2.5,0.0,
Foi,East Kutubu,foii1241,1.5,1.9635196,0.45963894689619156,-1.0084428291597423
Trinitario,Arawakan,trin1274,2.0,2.0,0.0,
Moselle Franconian,Indo-European,luxe1241,1.3333300000000001,2.63509281,0.12537931818607045,-10.382596020087664
Makonde,Atlantic-Congo,mako1251,1.93494,2.28228556,0.09287530954719017,-3.7399128109878634
Northern Tepehuan,Uto-Aztecan,nort2959,2.0,2.0,0.0,
Urdu,Indo-European,urdu1245,1.83333,4.11338838,0.22915407317910716,-9.949892438603536
Ninam,,nina1238,2.35098,2.3406177300000004,0.0969392926173236,0.10689442557524559
