language,language_family,code,simulation,predictive_structure
Monumbo,Bogia,nucl1458,N,3.5
Bagvalal,Nakh-Daghestanian,bagv1239,N,2.33334
Netsilik,Eskimo-Aleut,nets1241,N,3.89717
Central Kurdish,Indo-European,cent1972,N,0.66666
Mangole,Austronesian,mang1408,N,1.6666699999999999
Paliyan,Dravidian,pali1274,N,2.5
Northern Haida,,nort2938,N,2.5
Takia,Austronesian,taki1248,N,2.9266199999999998
Cherokee,,cher1273,N,3.75
Danish,Indo-European,dani1285,N,2.33334
Avava,Austronesian,katb1237,N,2.0
Mortlockese,Austronesian,mort1237,N,2.0
Bit,Austroasiatic,bitt1240,N,2.27557
Dutch,Indo-European,dutc1256,N,2.0
Kui (India),Dravidian,kuii1252,N,2.67506
Slave,,slav1253,N,3.0
South Tuvaluan,Austronesian,sout2865,N,2.47579
Amharic,Afro-Asiatic,amha1245,N,1.0
Suruí,Tupian,suru1262,N,3.0
Waru,Austronesian,waru1266,N,2.0
Kadai,Austronesian,kada1286,N,2.0
Cocopa,,coco1261,N,3.13374
Mekeo,Austronesian,meke1243,N,2.0
Tamambo,Austronesian,malo1243,N,3.5
North Azerbaijani,Turkic,nort2697,N,2.33334
Batak Toba,Austronesian,bata1289,N,3.7325799999999996
Ahin-Kayapa Kalanguya,Austronesian,ahin1234,N,1.3333300000000001
Dari,Indo-European,dari1249,N,1.3333300000000001
Nyulnyul,,nyul1247,N,1.34096
Isirawa,Greater Kwerba,isir1237,N,1.8008000000000002
Mungaka,Atlantic-Congo,mung1266,N,2.5
Chepang,Sino-Tibetan,chep1245,N,3.0
Serbian-Croatian-Bosnian,Indo-European,sout1528,N,1.7924799999999999
Andalal-Gxdatl,Nakh-Daghestanian,anda1281,N,2.378
Swedish,Indo-European,swed1254,N,2.33334
Classical Nahuatl,Uto-Aztecan,clas1250,N,2.0
Cheke Holo,Austronesian,chek1238,N,2.5
Albanian,Indo-European,alba1267,N,3.0
Ukrainian,Indo-European,ukra1253,N,2.1898
Slovenian,Indo-European,slov1268,N,2.0
Barí,,bari1297,N,2.0
Breton,Indo-European,bret1244,N,2.0
Digo,Atlantic-Congo,digo1243,N,1.6666599999999998
Boano (Sulawesi),Austronesian,boan1243,N,1.0
South Slavey,,sout2959,N,2.0
Bayungu,Pama-Nyungan,bayu1240,N,2.0
Wirangu,Pama-Nyungan,wira1265,N,1.8
Nsong,Atlantic-Congo,song1299,N,1.6666599999999998
Dampelas,Austronesian,damp1237,N,1.3333300000000001
Eastern Yiddish,Indo-European,east2295,N,2.33334
Roviana,Austronesian,rovi1238,N,1.27043
Eastern Mari,Uralic,east2328,N,3.0
Tomini,Austronesian,tomi1243,N,1.3333300000000001
Pitta Pitta,Pama-Nyungan,pitt1247,N,2.83333
Tocantins Asurini,Tupian,toca1235,N,1.7750599999999999
Hidatsa,,hida1246,N,3.5
Murriny Patha,,murr1258,N,1.6666699999999999
Atta,Austronesian,atta1244,N,1.0
Woods Cree,Algic,wood1236,N,2.5
Balochic,Indo-European,balo1260,N,1.0576
Cornish,Indo-European,corn1251,N,1.6
Northwest Maidu,,nort2951,N,2.45141
Tetum,Austronesian,tetu1245,N,3.4190500000000004
Puyuma,Austronesian,puyu1239,N,2.0
Sosva Mansi,Uralic,nort2677,N,3.0
Savosavo,Savosavo,savo1255,N,2.95915
Phende,Atlantic-Congo,phen1239,N,1.6666599999999998
Touo,Touo,touo1238,N,1.5
Kimaama,Kolopom,kima1246,N,2.5
East Ambae,Austronesian,east2443,N,2.0
Njebi,Atlantic-Congo,njeb1242,N,2.0
Yanyuwa,Pama-Nyungan,yany1243,N,2.0
Burmish,Sino-Tibetan,burm1266,N,3.75
Ngalkbun,,ngal1292,N,2.81128
Lakota,,lako1247,N,3.75
Wambayan,,wamb1258,N,2.40564
Wappo,,wapp1239,N,3.0
Ekari,Nuclear Trans New Guinea,ekar1243,N,2.75
Hawaiian,Austronesian,hawa1245,N,3.35161
Naman,Austronesian,litz1237,N,2.0
Ampibabo,Austronesian,ampi1237,N,1.3333300000000001
Kunimaipa,Goilalan,kuni1267,N,3.0
Tonga (Tonga Islands),Austronesian,tong1325,N,3.95987
Pwo,Sino-Tibetan,pwoo1239,N,3.25
Kurukh,Dravidian,kuru1302,N,3.0
Latin,Indo-European,lati1261,N,3.0
Southeastern Tepehuan,Uto-Aztecan,sout2976,N,2.96515
Northwest Sahaptin,,yaki1237,N,3.5
Tahitian,Austronesian,tahi1242,N,2.81128
Southern-Coastal Tsimshian,,nucl1649,N,2.0
Pukapuka,Austronesian,puka1242,N,3.00127
Kiai,Austronesian,fort1240,N,1.8333400000000002
Avar,Nakh-Daghestanian,avar1256,N,2.5
Mblafe,,mbla1238,N,1.9183
Tajik,Indo-European,taji1245,N,3.0
Māngarongaro,Austronesian,penr1237,N,3.18872
Weda,Austronesian,weda1240,N,2.79393
Wangganguru,Pama-Nyungan,wang1290,N,2.84436
Hid,Nakh-Daghestanian,hidd1238,N,2.33334
Hoti,,yuwa1244,N,3.0
Godoberi,Nakh-Daghestanian,ghod1238,N,2.33334
Old Rapa,Austronesian,rapa1245,N,3.0
Ems-Weser Frisian,Indo-European,sate1242,N,2.0
Central Melanau,Austronesian,cent2101,N,1.6666699999999999
Zigula,Atlantic-Congo,zigu1242,N,1.0
Kiowa Apache,,kiow1264,N,2.0
Venda,Atlantic-Congo,vend1245,N,1.3333300000000001
Amanab,Border,aman1265,N,3.0
Crow,,crow1244,N,3.75
Highland Puebla Nahuatl,Uto-Aztecan,high1278,N,2.0
Tetun Dili,Austronesian,tetu1246,N,3.25
Mongolian,,mong1331,N,2.5
Numbami,Austronesian,numb1247,N,3.33333
Lipan Apache,,lipa1241,N,2.66666
Middle High German,Indo-European,midd1343,N,0.88888
Northern Ojibwa,Algic,nort2961,N,2.8032199999999996
